"Data Source","World Development Indicators",

"Last Updated Date","2017-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","0.156862745098039","0.194805194805195","0.258064516129032","0.256410256410256","0.384615384615385","0.510529674537333","0.637429882712902","0.637429882712902","0.699745547073791","0.698856416772554","0.759493670886076","0.758533501896334","0.739570164348925","0.720606826801517","0.695322376738306","0.670037926675095","0.651074589127686","0.625790139064475","0.56890012642225","0.505689001264223","0.442477876106195","0.379266750948167","0.316055625790139","0.252844500632111","0.189633375474083","0.189633375474083","0.151706700379267","0.151706700379267","0.151706700379267","0.151706700379267","0.151706700379267","0.139064475347661","0.140593047034765","0.14280150590679","0.143734483209199","0.143847260363541","0.143135979180221","0.141807399767952","0.143734483209199","0.14317323961994","","","","","","","","","","","","","","","","","",
"Angola","AGO","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","2.99625468164794","6.09259259259259","7.35294117647059","10.2436363636364","10.8303249097473","13.3178571428571","15.9010600706714","18.5314685314685","22.0689655172414","24.5275862068966","27.9586206896552","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albania","ALB","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","67.1296296296296","87.1559633027523","86.3636363636364","94.8081264108352","94.1521739130435","99.2421052631579","109.036885245902","114.38","115.372549019608","115.451055662188","126.415094339623","137.037037037037","149.343065693431","156.193895870736","170.870337477798","170.434782608696","172.413793103448","173.241852487136","173.241852487136","172.735042735043","173.469387755102","174.872665534805","176.910016977929","173.174872665535","168.93039049236","173.174872665535","180.169491525424","196.610169491525","207.903780068729","212.435233160622","163.823529411765","155.709342560554","156.82842287695","157.712305025997","154.904679376083","144.072790294627","136.851211072664","141.247833622184","142.1143847487","139.913494809689","132.301038062284","130.017301038062","102.370242214533","131.038062283737","150.966542750929","135.308219178082","126.59169550173","121.934426229508","","","","","","","","","",
"Andorra","AND","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1416","1412","1491.66666666667","1552.17391304348","1613.63636363636","1534.78260869565","","","","","","","","",
"Arab World","ARB","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","15.9697470225159","16.7050440978407","17.565820760019","18.4530777641989","19.3433818066023","20.7786266039623","23.7552082231763","24.8530970449824","26.2747041825737","27.3111763472426","27.9179371738463","30.427276473012","32.0654005837136","33.7708694322699","36.0616856677524","37.4861561386198","38.6762331476548","41.6293737195195","45.2308002013085","47.6341635575275","51.1592263276207","54.0840107654734","56.9572099642532","59.6709540974659","64.6939032997015","67.5250946190555","69.1966243088563","70.5810847431381","69.6183565738206","73.2933951058166","75.7701017758971","75.0954700114902","76.5491313117016","77.6652764220428","82.4263304244417","81.5151738502003","82.6377821894775","83.9691207415153","90.0046787565737","99.2425635602961","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","244","248","252","256","260","220","223.333333333333","226.666666666667","230","200","202.857142857143","205.714285714286","182.5","164.444444444444","136.363636363636","138.181818181818","128.333333333333","130","131.666666666667","100","85.2631578947368","91.1111111111111","72.1739130434783","70","65.3846153846154","59.3103448275862","60","60.6896551724138","61.3793103448276","51.4285714285714","52.2857142857143","45.7894736842105","41.5","44.047619047619","63.0232558139535","61.5217391304348","60.4444444444444","76.3888888888889","63.953488372093","63.3333333333333","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","64.5265365381513","67.7789363920751","71.4285714285714","75","75.7538732222277","74.0466493891151","73.8552437223043","71.2758374910905","67.5753948333784","64.75","65.7692307692308","67.1769230769231","69.2307692307692","69.2307692307692","69.2307692307692","69.2307692307692","69.2307692307692","66.5384615384615","65.9230769230769","64.1153846153846","81.9230769230769","75.4444444444444","74.7407407407407","75.4444444444444","75.5555555555556","83.3333333333333","91.4179104477612","101.559525164031","100.528900642236","99.5296331138288","98.5194902548726","97.5172671271234","96.5042766827817","95.4885547077561","94.484412470024","93.4881669851536","92.4963396778917","91.5223336371923","90.5491791370042","89.5803183791606","88.6253874432351","87.6893259636781","","","","","","","","","","","","","","","",
"Armenia","ARM","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","345.48463356974","323.325635103926","314.942528735632","306.896551724138","288.888888888889","279.120879120879","276.923076923077","278.066666666667","291.6","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","30","30","50","50","60","100","100","120","120","120","120","120","120","120","120","120","120","120","120","120","110","110","110","110","110","110","110","110","110","110","110","91.6666666666667","91.6666666666667","91.6666666666667","73.3333333333333","55","55","45.8333333333333","44","68","","120","107.784431137725","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","202.5","194.285714285714","251.25","300","250","237.5","268.571428571429","195.714285714286","166.25","162.5","192.857142857143","470","496.666666666667","793.333333333333","753.333333333333","760","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","87.4835183037933","84.4344765286733","85.8957437791367","83.5223289994347","81.3880322458475","79.4340384712475","78.4878143320897","78.1821696061851","79.526265060241","78.5132407362907","80.6171247871564","81.9987197163679","83.1629202307539","78.9534911326892","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","792.02486678508","879.167162403331","987.312801932367","1073.65117682559","1155.00602409639","1275.71163366337","1361.64375","1432.2860712055","1510.95268138801","1569.86128625473","1630.01890359168","1690.51007556675","1833.75825627477","1878.56010568032","1919.25876902713","1934.21052631579","2012.01438848921","2023.27084680026","2087.32764281024","2083.984375","2080.69722401549","2124.16938110749","2265.87908269632","2256.47058823529","2251.7955801105","2265.87908269632","2265.87908269632","2410.45267489712","2408.80054832077","2373.64656381487","2352.94117647059","2374.65181058496","2415.89852008457","2424.45537596627","2517.80763790665","2517.7304964539","2516.96428571429","2458.89921372409","2457.74524158126","2424.22575976845","2422.49112383161","2419.17192371837","2412.46929414578","2408.84570765661","2401.24579002644","","","","","","","","","","","","",
"Azerbaijan","AZE","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194.778527427398","179.508101177293","168.252494778371","166.106702195447","158.84692962797","155.596269153897","153.069569541913","150.019179133103","148.181419807187","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","0.0296296296296296","0.0285714285714286","0.0276243093922652","0.0268817204301075","0.0264550264550265","0.0265604249667995","0.0380710659898477","0.0375","0.030241935483871","0.0425531914893617","0.0430570505920344","0.0334821428571429","0.043010752688172","0.0537634408602151","0.10752688172043","0.160427807486631","0.212314225053079","0.855614973262032","0.913978494623656","0.967741935483871","1.02150537634409","1.0752688172043","1.18279569892473","1.29032258064516","1.39784946236559","1.50537634408602","1.61290322580645","1.72043010752688","1.75268817204301","1.75268817204301","1.7741935483871","1.82795698924731","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1116.83294663573","1136.09467455621","1153.84615384615","1149.53293413174","1136.88095238095","1127.0462633452","","","","","","","","","","","","",
"Benin","BEN","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","0.695652173913043","0.680851063829787","0.666666666666667","0.673469387755102","0.66","0.679611650485437","0.672897196261682","0.672727272727273","0.644067796610169","0.65","0.64","0.640625","0.646153846153846","0.646616541353383","0.642335766423358","0.657142857142857","0.657342657342657","0.675862068965517","0.680272108843537","0.7","0.705882352941177","0.741935483870968","0.769230769230769","0.796178343949045","0.822784810126582","0.849056603773585","0.875","0.900621118012422","0.925925925925926","0.959752321981424","0.975308641975309","0.993865030674847","1","0.994117647058823","0.960893854748603","0.897435897435897","0.847619047619048","0.808888888888889","","","","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Agricultural machinery, tractors per 100 sq. km of arable land","AG.LND.TRAC.ZS","","0.13653483992467","0.159325210871603","0.158582089552239","0.158213122382503","0.16211208893006","0.184331797235023","0.206422018348624","0.228310502283105","0.249772933696639","0.270758122743682","0.295454545454545","0.306748466257669","0.318742031449214","0.328812166050144","0.339185953711093","0.352941176470588","0.365384615384615","0.377358490566038","0.407407407407407","0.418943533697632","0.43010752688172","0.422535211267606","0.415944540727903","0.409556313993174","0.402684563758389","0.4","1.37560975609756","1.37378362907842","1.86968838526912","2.39657631954351","2.93390804597701","3.47322720694645","4.02332361516035","4.6414757512645","5.7189349112426","","","","","","","","","","","","","","","","","","","","","","",
